COUNTY,STATE,ZHVI_2020,ZHVI_2021,ZHVI_2023,WFIR_AFREQ_2020,WFIR_EXPT_2020,WFIR_RISKS_2020,WFIR_AFREQ_2021,WFIR_EXPT_2021,WFIR_RISKS_2021,WFIR_AFREQ_2023,WFIR_EXPT_2023,WFIR_RISKS_2023
Kent County,MI,219831.6123322784,255091.8421550204,295475.63282432326,1.5267527712e-05,7241833739.320278,1.504322438568713,1.5267527712e-05,7435756153.080918,1.471364695753707,1.1075144357e-05,1370744944456.2915,62.10626789691378
Arapahoe County,CO,406230.67669835855,466454.3466741929,521262.5281980577,0.00025048454093,8446445046.742131,3.303054903311289,0.00025048454093,8673665285.574738,3.294136837434797,0.000152669988182,421056783343.8087,63.60165447025136
Utah County,UT,377913.12733782106,464557.6588122956,519135.89944720647,0.008411753713156,251599730482.9063,15.942184485736316,0.008411753713156,258431405884.2064,15.940946239107053,0.013642763431123,836204447696.0015,99.58638243716192
Bucks County,PA,340580.5938657885,384536.0754289685,448344.4707109342,0.000184601851929,13690822742.6907,2.731622594308976,0.000184601851929,14054065539.483276,2.723039696037865,0.000194444174834,86792404676.66624,68.40598154629335
Monmouth County,NJ,452540.9421073308,527457.1341652792,631271.1211322501,0.000292485103089,70972954251.19691,5.558386082448979,0.000292485103089,72858930091.79318,5.554978790669257,0.000809568682586,342095559220.63873,90.51861279032772
Ocean County,NJ,312274.2096116469,373198.4823421948,461080.3720452131,0.001899287097196,214914286885.2353,22.064127399178496,0.001899287097196,220636211502.63144,22.05660021423574,0.001767458667539,536188833264.42816,95.73655742920776
Montgomery County,TX,258310.53540612824,294138.4085389937,348917.24555743544,0.000446017988471,10581443844.388084,3.593462329460667,0.000446017988471,10864866873.155712,3.500962500079376,0.000699248574908,374376248223.5747,84.5370664969774
Johnson County,KS,301264.6265665441,338583.6592149888,397883.2871381344,6.4962944582e-05,2569572873.9168468,1.111385589588928,6.4962944582e-05,2637711906.206127,1.103135790173503,1.6826496343e-05,1205172805533.3987,61.46993318485522
Brevard County,FL,231595.33113972648,273246.59542019706,347331.784306149,0.010089683440521,310433988909.35693,50.140983707601286,0.010089683440521,318734691172.16113,50.02031208026665,0.009183257664837,488863404799.5376,98.91823098950049
Washington County,OR,434751.79801184806,501761.8662146365,562213.7612057676,5.069861495e-06,2273244738.4586,0.770970502695383,5.069861495e-06,2334981866.1724653,0.771005967919882,1.0650836754e-05,412639958064.6547,46.19790009545021
Williamson County,TX,302833.76449346123,404585.38088785583,443089.2419337142,0.001134339710714,197402413898.2469,11.81951048713429,0.001134339710714,202672128552.86963,12.081689322103028,0.000622008407435,1072937934307.4355,94.17753738466432
Anne Arundel County,MD,380856.8664273604,422583.94089201296,464542.8002584952,0.000126131367038,12675439699.03718,1.980025213057574,0.000126131367038,13010519574.344091,1.975199106853873,3.583183341e-05,535231974438.1892,54.08845052497614
Jefferson County,CO,466871.5017189992,543716.0287406916,603229.3171190056,0.003950934087877,326422398751.7854,25.398588682112106,0.003950934087877,335051689236.0741,25.398520279352425,0.006516265428707,942955661937.0356,99.39548202354436
Douglas County,NE,195811.0638820522,223326.0924702988,262249.10744440445,2.7527158514e-05,38684760661.74369,4.529755607300129,2.7527158514e-05,39719489788.57585,4.454533256680813,6.2671014741e-05,327073008424.9008,60.10181355392936
